Season,Team,G,Age,W,L,PW,PL,Pace,FTr,3PAr,OFF_eFG%,DEF_eFG%,OFF_TOV%,DEF_TOV%,ORB%,DRB%,OFF_FT/FGA,DEF_FT/FGA,pyth_diff
2016,Boston Celtics,82,25.2,48,34.0,50,32,98.5,0.264,0.293,0.488,0.487,12.1,14.6,25.1,74.6,0.208,0.231,-2
2016,Portland Trail Blazers,82,24.3,44,38.0,43,39,96.0,0.268,0.332,0.511,0.503,13.2,12.1,25.9,76.2,0.202,0.225,1
2016,Los Angeles Clippers,82,29.7,53,29.0,53,29,95.8,0.318,0.324,0.524,0.48,12.1,13.8,20.1,73.8,0.22,0.222,0
2016,Cleveland Cavaliers,82,28.1,57,25.0,57,25,93.3,0.259,0.352,0.524,0.496,12.7,12.6,25.1,78.5,0.194,0.205,0
2016,Washington Wizards,82,27.3,41,41.0,40,42,98.5,0.263,0.282,0.511,0.515,13.1,14.6,20.6,77.7,0.192,0.218,1
2016,San Antonio Spurs,82,30.3,67,15.0,67,15,93.8,0.246,0.223,0.526,0.477,12.4,14.1,23.0,79.1,0.197,0.182,0
2016,Charlotte Hornets,82,26.0,48,34.0,49,33,95.6,0.28,0.348,0.502,0.496,11.7,12.5,20.0,79.8,0.222,0.191,-1
2016,Atlanta Hawks,82,28.2,48,34.0,51,31,97.1,0.237,0.336,0.516,0.48,13.8,14.4,19.1,74.6,0.185,0.194,-3
2016,Toronto Raptors,82,26.3,56,26.0,53,29,92.9,0.328,0.287,0.504,0.498,12.3,12.7,24.6,77.7,0.255,0.201,3
2016,New Orleans Pelicans,82,26.6,30,52.0,31,51,96.8,0.259,0.277,0.498,0.523,12.3,12.7,21.2,78.8,0.201,0.225,-1
2016,Minnesota Timberwolves,82,24.6,29,53.0,31,51,95.2,0.332,0.202,0.498,0.524,13.9,13.6,24.3,74.7,0.263,0.2,-2
2016,Dallas Mavericks,82,30.3,42,40.0,40,42,94.3,0.265,0.339,0.502,0.504,12.0,12.8,20.6,76.2,0.211,0.198,2
2016,Indiana Pacers,82,26.9,45,37.0,46,36,96.6,0.268,0.27,0.497,0.489,13.5,14.3,23.4,76.0,0.205,0.205,-1
2016,Orlando Magic,82,23.9,35,47.0,36,46,96.0,0.232,0.255,0.5,0.513,12.8,13.8,23.1,76.5,0.175,0.215,-1
2016,Detroit Pistons,82,25.0,44,38.0,43,39,95.1,0.296,0.303,0.491,0.504,12.2,12.5,27.0,79.3,0.197,0.196,1
2016,Denver Nuggets,82,24.7,33,49.0,33,49,95.7,0.282,0.277,0.489,0.515,13.2,12.6,25.8,77.3,0.216,0.216,0
2016,Chicago Bulls,82,27.6,42,40.0,37,45,95.7,0.24,0.244,0.487,0.485,12.6,10.7,24.5,74.9,0.189,0.182,5
